address,zipcode,year_built
3161 GOTFREDSON RD,48198,1870
118 W MICHIGAN AVE,48197,1851
105 W MICHIGAN AVE,48197,1850
208 CATHERINE ST,48197,1893
9599 PITMAN RD,48197,1873
108 N HAMILTON ST,48197,1870
390 1ST AVE,48197,1895
26 S GROVE ST,48198,1880
201 S WASHINGTON ST,48197,1893
26 S SUMMIT ST,48197,1888
109 S PARK ST,48198,1842
8 S NORMAL ST,48197,1893
211-215 W MICHIGAN AVE,48197,1850
712 N CONGRESS ST,48197,1884
108 N HURON ST,48197,1860
202 N RIVER ST,48198,1850
215 N PARK ST,48198,1894
214 OAKWOOD AVE,48197,1890
224 MILES ST,48198,1876
228 MILES ST,48198,1896
1017 WASHTENAW AVE,48197,1864
415 OLIVE ST,48197,1885
309 MAPLE ST,48198,1880
304 E FOREST AVE,48198,1870
405 OAK ST,48198,1895
621 N RIVER ST,48198,1844
629 N RIVER ST,48198,1830
3444 GOTFREDSON RD,48198,1834
7966 WILLIS RD,48197,1873
7850 TUTTLE HILL RD,48197,1879
6840 WHITTAKER RD,48197,1886
5 N HAMILTON ST,48197,1869
511 MAUS AVE,48198,1899
204 S HAMILTON ST,48197,1890
118 S GROVE ST,48198,1885
109 S GROVE ST,48198,1895
36 S SUMMIT ST,48197,1893
109 S HURON ST,48197,1873
703 W MICHIGAN AVE,48197,1870
316 PARSONS ST,48198,1884
118 COLLEGE PL,48197,1860
616 WASHTENAW AVE,48197,1898
212 N HAMILTON ST,48197,1889
957 SHERIDAN ST,48197,1898
229 OAKWOOD AVE,48197,1890
307 N RIVER ST,48198,1864
304 N HAMILTON ST,48197,1896
306 N HAMILTON ST,48197,1864
310 N ADAMS ST,48197,1894
316 N GROVE ST,48198,1899
318 N PARK ST,48198,1870
306 E CROSS ST,48198,1850
310 MAPLE ST,48198,1896
511 N PROSPECT ST,48198,1875
933 E FOREST,48198,1870
713 N RIVER ST,48198,1840
8264 VREELAND RD,48198,1880
2791 HARRIS RD,48198,1870
216 N HAMILTON ST,48197,1860
4990 BOLLA RD,48197,1890
936 FREDERICK ST,48197,1834
95 SPRING ST,48197,1873
320 S HURON ST,48197,1850
317 S HURON ST,48197,1890
7 S GROVE ST,48198,1865
9 BALLARD ST,48197,1860
412 PEARL ST,48197,1885
97 OAKWOOD AVE,48197,1894
128 MILES ST,48198,1869
201 N WASHINGTON ST,48197,1869
211 BALLARD ST,48197,1870
315 N GROVE ST,48198,1840
306 N ADAMS ST,48197,1854
1005 W CROSS ST,48197,1890
616 VOUGHT ST,48198,1895
625 NORRIS ST,48198,1830
728 NORRIS ST,48198,1896
1510 LEFORGE RD,48198,1825
9740 CHERRY HILL RD,48198,1870
122 W MICHIGAN AVE,48197,1860
516 E FOREST AVE,48198,1870
7936 WILLIS RD,48197,1896
8945 TUTTLE HILL RD,48197,1873
6300 CRANE RD,48197,1870
536 1ST AVE,48197,1890
929 PLEASANT DR,48197,1893
9 S NORMAL ST,48197,1840
123 COLLEGE PL,48197,1895
311 WASHTENAW AVE,48197,1884
419 WASHTENAW AVE,48197,1894
129 MILES ST,48198,1864
202 N SUMMIT ST,48197,1874
220 N LINCOLN ST,48198,1894
207 MILES ST,48198,1864
958 SHERIDAN ST,48197,1840
309 N PARK ST,48198,1890
314 E CROSS ST,48198,1870
306 OAK ST,48198,1880
1 OAK ST,48198,1824
411 W FOREST AVE,48197,1884
6166 1ST RD,48198,1880
2663 HARRIS RD,48198,1870
12 S WASHINGTON ST,48197,1875
109 CATHERINE ST,48197,1893
112 W MICHIGAN AVE,48197,1860
315 N WASHINGTON ST,48197,1884
300 E MICHIGAN AVE,48198,1870
212 N PROSPECT ST,48198,1869
109 S ADAMS ST,48197,1878
425 N ADAMS ST,48197,1865
117 PEARL ST,48197,1890
525 N HURON ST,48197,1890
849 JEROME AVE,48198,1879
454 S HURON ST,48197,1890
616 PEARL ST,48197,1880
212 OAKWOOD AVE,48197,1890
47 N HURON ST,48197,1875
200-204 W MICHIGAN AVE,48197,1879
130 W MICHIGAN AVE,48197,1860
229 N SUMMIT ST,48197,1848
5-7 S WASHINGTON ST,48197,1874
510 W CROSS ST,48197,1884
722 LOWELL ST,48197,1895
302 N HAMILTON ST,48197,1898
619 EMMET ST,48197,1870
601 PEARL ST,48197,1884
702 EMMET ST,48197,1890
417 W FOREST AVE,48197,1885
415 W FOREST AVE,48197,1885
7842 CHERRY HILL RD,48198,1890
