address,zipcode,year_built
304-306 PERRIN ST,48197,1870
415 N HURON ST,48197,1879
410 MAPLE ST,48198,1896
427 N HAMILTON ST,48197,1893
409 MAPLE ST,48198,1896
205 OAK ST,48198,1885
210 ARCADE ST,48197,1894
209 OAK ST,48198,1850
525 N ADAMS ST,48197,1888
614 N ADAMS ST,48197,1885
631 N ADAMS ST,48197,1845
1720 LEFORGE RD,48198,1832
7155 CHERRY HILL RD,48198,1850
8401 CHERRY HILL RD,48198,1870
110 W MICHIGAN AVE,48197,1860
414 E MICHIGAN AVE,48198,1870
4740 MUNGER RD,48197,1890
437 2ND AVE,48197,1884
307 S PROSPECT ST,48198,1890
317 CHIDESTER ST,48197,1890
507 EMMET ST,48197,1885
410 E CROSS ST,48198,1870
210 FERRIS ST,48197,1890
214-218 W MICHIGAN AVE,48197,1884
615 PEARL ST,48197,1880
702 PEARL ST,48197,1879
108 N NORMAL ST,48197,1870
107 PERRIN ST,48197,1864
313 WASHTENAW AVE,48197,1870
226 N SUMMIT ST,48197,1885
948-950 SHERIDAN ST,48197,1875
309 N PROSPECT ST,48198,1870
929 W CROSS ST,48197,1888
302 E CROSS ST,48198,1879
708 E CROSS ST,48198,1878
209 ARCADE ST,48197,1895
411 BALLARD ST,48197,1888
501 N WASHINGTON ST,48197,1844
520 N HAMILTON ST,48197,1869
305 OAK ST,48198,1880
323 OAK ST,48198,1890
118 E FOREST AVE,48198,1875
350 W CLARK RD,48198,1870
1866 HARRIS RD,48198,1870
6820 PLYMOUTH-ANN ARBOR RD,48198,1800
23-25 E CROSS ST,48198,1869
52 E CROSS ST,48198,1859
6450 BEMIS RD,48197,1875
2324 W MICHIGAN AVE,48197,1860
112 WOODWARD ST,48197,1893
701 W MICHIGAN AVE,48197,1878
31 S GROVE ST,48198,1874
300 E MICHIGAN AVE,48198,1870
419 PEARL ST,48197,1894
106 N RIVER ST,48198,1860
115 BALLARD ST,48197,1859
417 WASHTENAW AVE,48197,1880
411 LOCUST ST,48198,1880
711 WASHTENAW AVE,48197,1893
310 N HAMILTON ST,48197,1894
718 E CROSS ST,48198,1850
201 E CROSS ST,48198,1880
113 E CROSS ST,48198,1884
308 MAPLE ST,48198,1899
426 N HURON ST,48197,1880
811 LOWELL ST,48197,1854
7485 CHERRY HILL RD,48198,1870
3385 GOTFREDSON RD,48198,1870
3620 GOTFREDSON RD,48198,1835
400 N RIVER ST,48198,1861
834 JEFFERSON ST,48197,1882
411 2ND AVE,48197,1894
214 N SUMMIT ST,48197,1880
128 W MICHIGAN AVE,48197,1860
418 PEARL ST,48197,1884
301 N PROSPECT ST,48198,1880
426 1ST AVE,48197,1884
7605 MUNGER RD,48197,1863
115 BELL RD,48197,1884
423 S HURON ST,48197,1860
329 1ST AVE,48197,1894
138 HAWKINS ST,48197,1889
311 S ADAMS ST,48197,1864
114 N NORMAL ST,48197,1890
611 EMMET ST,48197,1885
122 S GROVE ST,48198,1885
709 N CONGRESS ST,48197,1890
15 N RIVER ST,48198,1860
502 PEARL ST,48197,1884
211 N HURON ST,48197,1844
412 HIGH ST,48198,1890
508 EMMET ST,48197,1840
301 N ADAMS ST,48197,1890
208 E CROSS ST,48198,1860
512 W CROSS ST,48197,1890
203 E CROSS ST,48198,1870
115 MAPLE ST,48198,1886
312 OLIVE ST,48197,1885
507 N HAMILTON ST,48197,1879
601 N HURON ST | 202 W FOREST AVE,48197,1850
316 E FOREST AVE,48198,1860
6100 VREELAND RD,48198,1870
106 W MICHIGAN AVE,48197,1860
29 BELL RD,48197,1890
301 S WASHINGTON ST,48197,1865
17 S NORMAL ST,48197,1840
206 S WASHINGTON ST,48197,1868
215 WOODWARD ST,48197,1893
526 W MICHIGAN AVE,48197,1820
615 N CONGRESS ST,48197,1893
914 N CONGRESS ST,48197,1884
606 N CONGRESS ST,48197,1893
16 N SUMMIT ST,48197,1884
108 BALLARD ST,48197,1894
317 WASHTENAW AVE,48197,1844
224 N PROSPECT ST,48198,1864
606 WASHTENAW AVE,48197,1890
406 N HAMILTON ST,48197,1884
420 N HAMILTON ST,48197,1890
303 N HURON ST,48197,1837
312 BALLARD ST,48197,1888
418 N HAMILTON ST,48197,1890
423 N HAMILTON ST,48197,1898
430 BALLARD ST,48197,1875
526 N HURON ST,48197,1870
12 E FOREST AVE,48198,1830
353 2ND AVE,48197,1880
8705 TUTTLE HILL RD,48197,1860
9253 MARTZ RD,48197,1837
6170 STONY CREEK RD,48197,1846
3800 TEXTILE RD,48197,1876
327 CHIDESTER ST,48197,1890
206 S HURON ST,48197,1873
218 WOODWARD ST,48197,1883
114 WOODWARD ST,48197,1893
810 N CONGRESS ST,48197,1850
212 N GROVE ST,48198,1870
501 WASHTENAW AVE,48197,1884
125 N HURON ST | 101 WASHTENAW AVE,48197,1830
130 N HURON ST,48197,1849
518 WASHTENAW AVE,48197,1870
229 N PROSPECT ST,48198,1870
310 N GROVE ST,48198,1890
416 E CROSS ST,48198,1850
410 N HURON ST,48197,1865
406 MAPLE ST,48198,1850
205 MAPLE ST,48198,1854
409 OLIVE ST,48197,1890
413 W FOREST AVE,48197,1885
621 N ADAMS ST,48197,1895
718 N PROSPECT ST,48198,1895
858 RAILROAD ST,48197,1890
8275 WILLIS RD,48197,1895
214 S GROVE ST,48198,1850
10 ELDER ST,48197,1894
422 S HURON ST,48197,1898
417 S HURON ST,48197,1863
402 S HURON ST,48197,1895
125 HAWKINS ST,48197,1880
221 S WASHINGTON ST,48197,1863
130 COLLEGE PL,48197,1899
328 E CROSS ST,48198,1890
22 S GROVE ST,48198,1895
409 E MICHIGAN AVE,48198,1870
18 N NORMAL ST,48197,1869
118 N NORMAL ST,48197,1885
222 N RIVER ST,48198,1869
414 EMMET ST,48197,1896
309 N ADAMS ST,48197,1844
404 N HURON ST,48197,1850
414 FLORENCE ST,48197,1898
330 MAPLE ST,48198,1886
424 N WASHINGTON ST,48197,1860
506 N ADAMS ST,48197,1864
